Name,Time,Cumulative PnL
StopLossHunter_Initial_4,2021-Nov-05 13:30:15.087998,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:31:15.148495,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:32:15.530022,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:33:15.741722,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:34:15.939653,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:35:16.100013,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:36:16.725391,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:37:16.763552,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:38:16.957831,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:39:17.065694,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:40:17.148986,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:41:17.280476,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:42:17.709756,0.000000
StopLossHunter_Initial_4,2021-Nov-05 13:43:17.922209,-0.298656
StopLossHunter_Initial_4,2021-Nov-05 13:44:18.083950,-24.588510
StopLossHunter_Initial_4,2021-Nov-05 13:45:18.214755,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:46:18.391355,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:47:18.584376,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:48:18.855216,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:49:19.056270,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:50:19.289177,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:51:19.581881,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:52:19.969319,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:53:20.320784,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:54:21.187085,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:55:21.293598,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:56:21.614818,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:57:21.858609,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:58:22.144481,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 13:59:22.392163,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 14:00:22.741424,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 14:01:22.927919,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 14:02:23.506598,-26.839589
StopLossHunter_Initial_4,2021-Nov-05 14:03:23.675870,-26.969473
StopLossHunter_Initial_4,2021-Nov-05 14:04:23.839621,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:05:24.023329,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:06:24.419606,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:07:24.724720,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:08:24.865190,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:09:25.294969,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:10:25.982853,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:11:26.813126,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:12:27.350244,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:13:27.983558,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:14:28.634181,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:15:28.963255,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:16:29.098426,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:17:29.437665,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:18:29.948211,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:19:30.073688,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:20:30.739600,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:21:30.977650,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:22:31.109732,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:23:31.379346,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:24:31.630566,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:25:32.302644,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:26:32.737474,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:27:33.219668,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:28:33.846156,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:29:34.153370,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:30:34.840371,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:31:35.384228,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:32:35.695137,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:33:35.982149,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:34:36.444823,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:35:36.915316,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:36:37.227376,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:37:37.405437,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:38:38.282117,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:39:39.514725,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:40:39.682800,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:41:40.375151,-27.119435
