StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
V2Test9,2021-Nov-05 15:30:02.088369,MSFT,-1,336.190000,0.008731,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113175,,FILL
V2Test9,2021-Nov-05 15:30:17.916820,MSFT,1,336.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113177,,FILL
V2Test9,2021-Nov-05 15:46:40.114164,BA,1,220.140000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113178,,FILL
V2Test9,2021-Nov-05 15:46:56.868733,BA,-1,206.570000,0.005827,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113180,,FILL
V2Test9,2021-Nov-05 16:30:14.527834,BA,1,224.000000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113181,,FILL
V2Test9,2021-Nov-05 16:30:34.982411,BA,-1,221.570000,0.006163,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113183,,FILL
V2Test9,2021-Nov-05 16:38:18.156312,MSFT,-1,336.200000,0.008731,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113184,,FILL
V2Test9,2021-Nov-05 16:38:25.090885,MSFT,1,336.190000,0.001200,ADDED,0,,SIM-1001-101,dlariviere,IEX,367705035113185,,FILL
V2Test9,2021-Nov-05 18:07:08.376148,BA,1,223.300000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113186,,FILL
V2Test9,2021-Nov-05 18:07:28.900356,BA,-1,223.170000,0.006199,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113188,,FILL
V2Test9,2021-Nov-05 18:51:26.481873,BA,1,223.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113189,,FILL
V2Test9,2021-Nov-05 18:51:54.639330,BA,-1,223.780000,0.006213,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113191,,FILL
V2Test9,2021-Nov-05 19:31:08.562011,BA,-1,223.060000,0.006197,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367705035113192,,FILL
V2Test9,2021-Nov-05 19:31:08.878628,BA,1,223.050000,0.001200,ADDED,0,,SIM-1001-101,dlariviere,IEX,367705035113193,,FILL
