StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
V2Test9,2021-Nov-05 15:30:02.088369,2021-Nov-05 15:30:02.088369,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.190000,0.008731,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113175,,,
V2Test9,2021-Nov-05 15:30:02.088369,2021-Nov-05 15:30:17.916820,CANCELLED,CANCEL,MSFT,BUY,LIMIT,DAY,336.180000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113176,,,
V2Test9,2021-Nov-05 15:30:17.916820,2021-Nov-05 15:30:17.916820,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.350000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113177,,,
V2Test9,2021-Nov-05 15:46:40.114164,2021-Nov-05 15:46:40.114164,FILLED,FILL,BA,BUY,MARKET,DAY,0.000000,1,0,1,0,220.140000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113178,,,
V2Test9,2021-Nov-05 15:46:40.114164,2021-Nov-05 15:46:56.868733,CANCELLED,CANCEL,BA,SELL,LIMIT,DAY,220.150000,-1,0,0,-1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113179,,,
V2Test9,2021-Nov-05 15:46:56.868733,2021-Nov-05 15:46:56.868733,FILLED,FILL,BA,SELL,MARKET,DAY,0.000000,-1,0,-1,0,206.570000,0.005827,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113180,,,
V2Test9,2021-Nov-05 16:30:14.527834,2021-Nov-05 16:30:14.527834,FILLED,FILL,BA,BUY,MARKET,DAY,0.000000,1,0,1,0,224.000000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113181,,,
V2Test9,2021-Nov-05 16:30:14.527834,2021-Nov-05 16:30:34.982411,CANCELLED,CANCEL,BA,SELL,LIMIT,DAY,224.010000,-1,0,0,-1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113182,,,
V2Test9,2021-Nov-05 16:30:34.982411,2021-Nov-05 16:30:34.982411,FILLED,FILL,BA,SELL,MARKET,DAY,0.000000,-1,0,-1,0,221.570000,0.006163,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113183,,,
V2Test9,2021-Nov-05 16:38:18.156312,2021-Nov-05 16:38:18.156312,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.200000,0.008731,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113184,,,
V2Test9,2021-Nov-05 16:38:18.156312,2021-Nov-05 16:38:25.090885,FILLED,FILL,MSFT,BUY,LIMIT,DAY,336.190000,1,0,1,0,336.190000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113185,,,
V2Test9,2021-Nov-05 18:07:08.376148,2021-Nov-05 18:07:08.376148,FILLED,FILL,BA,BUY,MARKET,DAY,0.000000,1,0,1,0,223.300000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113186,,,
V2Test9,2021-Nov-05 18:07:08.376148,2021-Nov-05 18:07:28.900356,CANCELLED,CANCEL,BA,SELL,LIMIT,DAY,223.310000,-1,0,0,-1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113187,,,
V2Test9,2021-Nov-05 18:07:28.900356,2021-Nov-05 18:07:28.900356,FILLED,FILL,BA,SELL,MARKET,DAY,0.000000,-1,0,-1,0,223.170000,0.006199,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113188,,,
V2Test9,2021-Nov-05 18:51:26.481873,2021-Nov-05 18:51:26.481873,FILLED,FILL,BA,BUY,MARKET,DAY,0.000000,1,0,1,0,223.800000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113189,,,
V2Test9,2021-Nov-05 18:51:26.481873,2021-Nov-05 18:51:54.639330,CANCELLED,CANCEL,BA,SELL,LIMIT,DAY,223.810000,-1,0,0,-1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113190,,,
V2Test9,2021-Nov-05 18:51:54.639330,2021-Nov-05 18:51:54.639330,FILLED,FILL,BA,SELL,MARKET,DAY,0.000000,-1,0,-1,0,223.780000,0.006213,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113191,,,
V2Test9,2021-Nov-05 19:31:08.562011,2021-Nov-05 19:31:08.562011,FILLED,FILL,BA,SELL,MARKET,DAY,0.000000,-1,0,-1,0,223.060000,0.006197,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113192,,,
V2Test9,2021-Nov-05 19:31:08.562011,2021-Nov-05 19:31:08.878628,FILLED,FILL,BA,BUY,LIMIT,DAY,223.050000,1,0,1,0,223.050000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367705035113193,,,
